CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031500202734001QW0F;06/06/2022;3;0,177;;;R
ES0031500202734001QW0F;06/06/2022;4;0,153;;;R
ES0031500202734001QW0F;06/06/2022;5;0,126;;;R
ES0031500202734001QW0F;06/06/2022;6;0,134;;;R
ES0031500202734001QW0F;06/06/2022;7;0,133;;;R
ES0031500202734001QW0F;06/06/2022;8;0,16;;;R
ES0031500202734001QW0F;06/06/2022;9;0,157;;;R
ES0031500202734001QW0F;06/06/2022;10;0,183;;;R
ES0031500202734001QW0F;06/06/2022;11;0,25;;;R
ES0031500202734001QW0F;06/06/2022;12;0,227;;;R
ES0031500202734001QW0F;06/06/2022;13;0,202;;;R
ES0031500202734001QW0F;06/06/2022;14;1,565;;;R
ES0031500202734001QW0F;06/06/2022;15;0,42;;;R
ES0031500202734001QW0F;06/06/2022;16;0,299;;;R
ES0031500202734001QW0F;06/06/2022;17;0,187;;;R
ES0031500202734001QW0F;06/06/2022;18;0,23;;;R
ES0031500202734001QW0F;06/06/2022;19;0,272;;;R
ES0031500202734001QW0F;06/06/2022;20;0,296;;;R
ES0031500202734001QW0F;06/06/2022;21;0,178;;;R
ES0031500202734001QW0F;06/06/2022;22;0,214;;;R
ES0031500202734001QW0F;06/06/2022;23;0,317;;;R
ES0031500202734001QW0F;06/06/2022;24;0,302;;;R
ES0031500202734001QW0F;07/06/2022;1;0,588;;;R
ES0031500202734001QW0F;07/06/2022;2;0,256;;;R
ES0031500202734001QW0F;07/06/2022;3;0,393;;;R
ES0031500202734001QW0F;07/06/2022;4;0,172;;;R
ES0031500202734001QW0F;07/06/2022;5;0,168;;;R
ES0031500202734001QW0F;07/06/2022;6;0,16;;;R
ES0031500202734001QW0F;07/06/2022;7;0,149;;;R
ES0031500202734001QW0F;07/06/2022;8;0,197;;;R
ES0031500202734001QW0F;07/06/2022;9;0,165;;;R
ES0031500202734001QW0F;07/06/2022;10;0,142;;;R
ES0031500202734001QW0F;07/06/2022;11;0,141;;;R
ES0031500202734001QW0F;07/06/2022;12;0,16;;;R
ES0031500202734001QW0F;07/06/2022;13;0,152;;;R
ES0031500202734001QW0F;07/06/2022;14;0,231;;;R
ES0031500202734001QW0F;07/06/2022;15;0,22;;;R
ES0031500202734001QW0F;07/06/2022;16;0,217;;;R
ES0031500202734001QW0F;07/06/2022;17;0,189;;;R
ES0031500202734001QW0F;07/06/2022;18;0,205;;;R
ES0031500202734001QW0F;07/06/2022;19;0,196;;;R
ES0031500202734001QW0F;07/06/2022;20;0,173;;;R
ES0031500202734001QW0F;07/06/2022;21;0,18;;;R
ES0031500202734001QW0F;07/06/2022;22;0,438;;;R
ES0031500202734001QW0F;07/06/2022;23;0,415;;;R
ES0031500202734001QW0F;07/06/2022;24;0,324;;;R
ES0031500202734001QW0F;08/06/2022;1;0,218;;;R
ES0031500202734001QW0F;08/06/2022;2;0,2;;;R
ES0031500202734001QW0F;08/06/2022;3;0,17;;;R
ES0031500202734001QW0F;08/06/2022;4;0,184;;;R
ES0031500202734001QW0F;08/06/2022;5;0,126;;;R
ES0031500202734001QW0F;08/06/2022;6;0,144;;;R
ES0031500202734001QW0F;08/06/2022;7;0,17;;;R
ES0031500202734001QW0F;08/06/2022;8;0,358;;;R
ES0031500202734001QW0F;08/06/2022;9;0,53;;;R
ES0031500202734001QW0F;08/06/2022;10;0,221;;;R
ES0031500202734001QW0F;08/06/2022;11;0,196;;;R
ES0031500202734001QW0F;08/06/2022;12;0,165;;;R
ES0031500202734001QW0F;08/06/2022;13;0,248;;;R
ES0031500202734001QW0F;08/06/2022;14;0,439;;;R
ES0031500202734001QW0F;08/06/2022;15;0,823;;;R
ES0031500202734001QW0F;08/06/2022;16;0,167;;;R
ES0031500202734001QW0F;08/06/2022;17;0,165;;;R
ES0031500202734001QW0F;08/06/2022;18;0,191;;;R
ES0031500202734001QW0F;08/06/2022;19;0,279;;;R
ES0031500202734001QW0F;08/06/2022;20;0,38;;;R
ES0031500202734001QW0F;08/06/2022;21;0,389;;;R
ES0031500202734001QW0F;08/06/2022;22;0,455;;;R
ES0031500202734001QW0F;08/06/2022;23;0,327;;;R
ES0031500202734001QW0F;08/06/2022;24;0,297;;;R
ES0031500202734001QW0F;09/06/2022;1;0,716;;;R
ES0031500202734001QW0F;09/06/2022;2;0,239;;;R
ES0031500202734001QW0F;09/06/2022;3;0,393;;;R
ES0031500202734001QW0F;09/06/2022;4;0,156;;;R
ES0031500202734001QW0F;09/06/2022;5;0,157;;;R
ES0031500202734001QW0F;09/06/2022;6;0,16;;;R
ES0031500202734001QW0F;09/06/2022;7;0,154;;;R
ES0031500202734001QW0F;09/06/2022;8;0,321;;;R
ES0031500202734001QW0F;09/06/2022;9;0,186;;;R
ES0031500202734001QW0F;09/06/2022;10;0,321;;;R
ES0031500202734001QW0F;09/06/2022;11;0,238;;;R
ES0031500202734001QW0F;09/06/2022;12;0,159;;;R
ES0031500202734001QW0F;09/06/2022;13;0,161;;;R
ES0031500202734001QW0F;09/06/2022;14;0,156;;;R
ES0031500202734001QW0F;09/06/2022;15;0,198;;;R
ES0031500202734001QW0F;09/06/2022;16;0,204;;;R
ES0031500202734001QW0F;09/06/2022;17;0,171;;;R
ES0031500202734001QW0F;09/06/2022;18;0,681;;;R
ES0031500202734001QW0F;09/06/2022;19;0,629;;;R
ES0031500202734001QW0F;09/06/2022;20;0,215;;;R
ES0031500202734001QW0F;09/06/2022;21;0,187;;;R
ES0031500202734001QW0F;09/06/2022;22;0,33;;;R
ES0031500202734001QW0F;09/06/2022;23;0,298;;;R
ES0031500202734001QW0F;09/06/2022;24;0,255;;;R
ES0031500202734001QW0F;10/06/2022;1;0,25;;;R
ES0031500202734001QW0F;10/06/2022;2;0,234;;;R
ES0031500202734001QW0F;10/06/2022;3;0,195;;;R
ES0031500202734001QW0F;10/06/2022;4;0,161;;;R
ES0031500202734001QW0F;10/06/2022;5;0,137;;;R
ES0031500202734001QW0F;10/06/2022;6;0,157;;;R
ES0031500202734001QW0F;10/06/2022;7;0,143;;;R
ES0031500202734001QW0F;10/06/2022;8;0,176;;;R
ES0031500202734001QW0F;10/06/2022;9;0,2;;;R
ES0031500202734001QW0F;10/06/2022;10;0,135;;;R
ES0031500202734001QW0F;10/06/2022;11;0,151;;;R
ES0031500202734001QW0F;10/06/2022;12;0,134;;;R
ES0031500202734001QW0F;10/06/2022;13;0,138;;;R
ES0031500202734001QW0F;10/06/2022;14;0,155;;;R
ES0031500202734001QW0F;10/06/2022;15;0,363;;;R
ES0031500202734001QW0F;10/06/2022;16;0,275;;;R
ES0031500202734001QW0F;10/06/2022;17;0,149;;;R
ES0031500202734001QW0F;10/06/2022;18;0,13;;;R
ES0031500202734001QW0F;10/06/2022;19;0,175;;;R
ES0031500202734001QW0F;10/06/2022;20;0,177;;;R
ES0031500202734001QW0F;10/06/2022;21;0,33;;;R
ES0031500202734001QW0F;10/06/2022;22;0,57;;;R
ES0031500202734001QW0F;10/06/2022;23;0,331;;;R
ES0031500202734001QW0F;10/06/2022;24;0,294;;;R
ES0031500202734001QW0F;11/06/2022;1;0,3;;;R
ES0031500202734001QW0F;11/06/2022;2;0,2;;;R
ES0031500202734001QW0F;11/06/2022;3;0,166;;;R
ES0031500202734001QW0F;11/06/2022;4;0,211;;;R
ES0031500202734001QW0F;11/06/2022;5;0,177;;;R
ES0031500202734001QW0F;11/06/2022;6;0,154;;;R
ES0031500202734001QW0F;11/06/2022;7;0,145;;;R
ES0031500202734001QW0F;11/06/2022;8;0,139;;;R
ES0031500202734001QW0F;11/06/2022;9;0,156;;;R
ES0031500202734001QW0F;11/06/2022;10;0,212;;;R
ES0031500202734001QW0F;11/06/2022;11;0,633;;;R
ES0031500202734001QW0F;11/06/2022;12;0,337;;;R
ES0031500202734001QW0F;11/06/2022;13;0,477;;;R
ES0031500202734001QW0F;11/06/2022;14;1,054;;;R
ES0031500202734001QW0F;11/06/2022;15;0,308;;;R
ES0031500202734001QW0F;11/06/2022;16;0,267;;;R
ES0031500202734001QW0F;11/06/2022;17;0,271;;;R
ES0031500202734001QW0F;11/06/2022;18;0,236;;;R
ES0031500202734001QW0F;11/06/2022;19;0,235;;;R
ES0031500202734001QW0F;11/06/2022;20;0,193;;;R
ES0031500202734001QW0F;11/06/2022;21;0,204;;;R
ES0031500202734001QW0F;11/06/2022;22;0,194;;;R
ES0031500202734001QW0F;11/06/2022;23;0,184;;;R
ES0031500202734001QW0F;11/06/2022;24;0,284;;;R
ES0031500202734001QW0F;12/06/2022;1;0,297;;;R
ES0031500202734001QW0F;12/06/2022;2;0,226;;;R
ES0031500202734001QW0F;12/06/2022;3;0,167;;;R
ES0031500202734001QW0F;12/06/2022;4;0,149;;;R
ES0031500202734001QW0F;12/06/2022;5;0,147;;;R
ES0031500202734001QW0F;12/06/2022;6;0,157;;;R
ES0031500202734001QW0F;12/06/2022;7;0,146;;;R
ES0031500202734001QW0F;12/06/2022;8;0,154;;;R
ES0031500202734001QW0F;12/06/2022;9;0,145;;;R
ES0031500202734001QW0F;12/06/2022;10;0,281;;;R
ES0031500202734001QW0F;12/06/2022;11;0,209;;;R
ES0031500202734001QW0F;12/06/2022;12;0,19;;;R
ES0031500202734001QW0F;12/06/2022;13;1,069;;;R
ES0031500202734001QW0F;12/06/2022;14;0,962;;;R
ES0031500202734001QW0F;12/06/2022;15;0,202;;;R
ES0031500202734001QW0F;12/06/2022;16;0,199;;;R
ES0031500202734001QW0F;12/06/2022;17;0,191;;;R
ES0031500202734001QW0F;12/06/2022;18;0,201;;;R
ES0031500202734001QW0F;12/06/2022;19;0,299;;;R
ES0031500202734001QW0F;12/06/2022;20;0,288;;;R
ES0031500202734001QW0F;12/06/2022;21;0,757;;;R
ES0031500202734001QW0F;12/06/2022;22;0,759;;;R
ES0031500202734001QW0F;12/06/2022;23;0,54;;;R
ES0031500202734001QW0F;12/06/2022;24;0,58;;;R
ES0031500202734001QW0F;13/06/2022;1;0,578;;;R
ES0031500202734001QW0F;13/06/2022;2;0,23;;;R
ES0031500202734001QW0F;13/06/2022;3;0,185;;;R
ES0031500202734001QW0F;13/06/2022;4;0,164;;;R
ES0031500202734001QW0F;13/06/2022;5;0,153;;;R
ES0031500202734001QW0F;13/06/2022;6;0,153;;;R
ES0031500202734001QW0F;13/06/2022;7;0,154;;;R
ES0031500202734001QW0F;13/06/2022;8;0,169;;;R
ES0031500202734001QW0F;13/06/2022;9;0,162;;;R
ES0031500202734001QW0F;13/06/2022;10;0,161;;;R
ES0031500202734001QW0F;13/06/2022;11;0,147;;;R
ES0031500202734001QW0F;13/06/2022;12;0,151;;;R
ES0031500202734001QW0F;13/06/2022;13;0,232;;;R
ES0031500202734001QW0F;13/06/2022;14;1,046;;;R
ES0031500202734001QW0F;13/06/2022;15;0,326;;;R
ES0031500202734001QW0F;13/06/2022;16;0,173;;;R
ES0031500202734001QW0F;13/06/2022;17;0,156;;;R
ES0031500202734001QW0F;13/06/2022;18;0,178;;;R
ES0031500202734001QW0F;13/06/2022;19;0,279;;;R
ES0031500202734001QW0F;13/06/2022;20;0,216;;;R
ES0031500202734001QW0F;13/06/2022;21;1,39;;;R
ES0031500202734001QW0F;13/06/2022;22;0,589;;;R
ES0031500202734001QW0F;13/06/2022;23;0,328;;;R
ES0031500202734001QW0F;13/06/2022;24;0,393;;;R
ES0031500202734001QW0F;14/06/2022;1;0,205;;;R
ES0031500202734001QW0F;14/06/2022;2;0,122;;;R
ES0031500202734001QW0F;14/06/2022;3;0,159;;;R
ES0031500202734001QW0F;14/06/2022;4;0,141;;;R
ES0031500202734001QW0F;14/06/2022;5;0,128;;;R
ES0031500202734001QW0F;14/06/2022;6;0,142;;;R
ES0031500202734001QW0F;14/06/2022;7;0,213;;;R
ES0031500202734001QW0F;14/06/2022;8;0,19;;;R
ES0031500202734001QW0F;14/06/2022;9;0,146;;;R
ES0031500202734001QW0F;14/06/2022;10;0,139;;;R
ES0031500202734001QW0F;14/06/2022;11;0,153;;;R
ES0031500202734001QW0F;14/06/2022;12;0,159;;;R
ES0031500202734001QW0F;14/06/2022;13;1,364;;;R
ES0031500202734001QW0F;14/06/2022;14;1,033;;;R
ES0031500202734001QW0F;14/06/2022;15;0,25;;;R
ES0031500202734001QW0F;14/06/2022;16;0,189;;;R
ES0031500202734001QW0F;14/06/2022;17;0,185;;;R
ES0031500202734001QW0F;14/06/2022;18;0,185;;;R
ES0031500202734001QW0F;14/06/2022;19;0,162;;;R
ES0031500202734001QW0F;14/06/2022;20;0,179;;;R
ES0031500202734001QW0F;14/06/2022;21;0,151;;;R
ES0031500202734001QW0F;14/06/2022;22;0,833;;;R
ES0031500202734001QW0F;14/06/2022;23;0,441;;;R
ES0031500202734001QW0F;14/06/2022;24;0,508;;;R
ES0031500202734001QW0F;15/06/2022;1;0,766;;;R
ES0031500202734001QW0F;15/06/2022;2;0,421;;;R
ES0031500202734001QW0F;15/06/2022;3;0,267;;;R
ES0031500202734001QW0F;15/06/2022;4;0,176;;;R
ES0031500202734001QW0F;15/06/2022;5;0,135;;;R
ES0031500202734001QW0F;15/06/2022;6;0,152;;;R
ES0031500202734001QW0F;15/06/2022;7;0,155;;;R
ES0031500202734001QW0F;15/06/2022;8;0,151;;;R
ES0031500202734001QW0F;15/06/2022;9;0,179;;;R
ES0031500202734001QW0F;15/06/2022;10;0,167;;;R
ES0031500202734001QW0F;15/06/2022;11;0,162;;;R
ES0031500202734001QW0F;15/06/2022;12;0,166;;;R
ES0031500202734001QW0F;15/06/2022;13;0,171;;;R
ES0031500202734001QW0F;15/06/2022;14;0,148;;;R
ES0031500202734001QW0F;15/06/2022;15;0,24;;;R
ES0031500202734001QW0F;15/06/2022;16;0,214;;;R
ES0031500202734001QW0F;15/06/2022;17;0,238;;;R
ES0031500202734001QW0F;15/06/2022;18;0,268;;;R
ES0031500202734001QW0F;15/06/2022;19;0,348;;;R
ES0031500202734001QW0F;15/06/2022;20;0,255;;;R
ES0031500202734001QW0F;15/06/2022;21;0,708;;;R
ES0031500202734001QW0F;15/06/2022;22;0,708;;;R
ES0031500202734001QW0F;15/06/2022;23;0,255;;;R
ES0031500202734001QW0F;15/06/2022;24;0,344;;;R
ES0031500202734001QW0F;16/06/2022;1;0,393;;;R
ES0031500202734001QW0F;16/06/2022;2;0,277;;;R
ES0031500202734001QW0F;16/06/2022;3;0,223;;;R
ES0031500202734001QW0F;16/06/2022;4;0,168;;;R
ES0031500202734001QW0F;16/06/2022;5;0,168;;;R
ES0031500202734001QW0F;16/06/2022;6;0,162;;;R
ES0031500202734001QW0F;16/06/2022;7;0,139;;;R
ES0031500202734001QW0F;16/06/2022;8;0,261;;;R
ES0031500202734001QW0F;16/06/2022;9;0,597;;;R
ES0031500202734001QW0F;16/06/2022;10;0,397;;;R
ES0031500202734001QW0F;16/06/2022;11;0,166;;;R
ES0031500202734001QW0F;16/06/2022;12;0,242;;;R
ES0031500202734001QW0F;16/06/2022;13;0,171;;;R
ES0031500202734001QW0F;16/06/2022;14;1,278;;;R
ES0031500202734001QW0F;16/06/2022;15;0,209;;;R
ES0031500202734001QW0F;16/06/2022;16;0,157;;;R
ES0031500202734001QW0F;16/06/2022;17;0,17;;;R
ES0031500202734001QW0F;16/06/2022;18;0,205;;;R
ES0031500202734001QW0F;16/06/2022;19;0,215;;;R
ES0031500202734001QW0F;16/06/2022;20;0,345;;;R
ES0031500202734001QW0F;16/06/2022;21;0,272;;;R
ES0031500202734001QW0F;16/06/2022;22;0,427;;;R
ES0031500202734001QW0F;16/06/2022;23;0,3;;;R
ES0031500202734001QW0F;16/06/2022;24;0,367;;;R
ES0031500202734001QW0F;17/06/2022;1;0,237;;;R
ES0031500202734001QW0F;17/06/2022;2;0,211;;;R
